DetectionID,RangeBin,DopplerBin,Range_m,Velocity_mps,Power_dB,Noise_dB,Threshold_dB,SNR_dB,CFARMethodCode,CFARMethod,VariabilityIndex,SectorMeanRatio,RangeOffset_bin,DopplerOffset_bin,RangeRefined_m,VelocityRefined_mps,SubbinFitR2,SubbinFitValid,SubbinMethod,AngleFFT_deg,DML_deg,MUSIC_deg,OMP_deg,SelectedAngle_deg
1,5,161,2.09815685123698,5.11605193998471,27.3004601198033,-24.5689808658777,-14.358830390594,51.869440985681,3,VI_SELECTED,47.7348843841553,4040.40498881219,0.265897470376067,-0.0127393966357049,2.23763050103601,5.11401520826995,0.999998797948448,1,QUADRATIC_2D_LOG,22.75,-10,-10,-10,-10
2,5,65,2.09815685123698,-10.2321038799694,22.8003167737787,-23.9134045430909,-13.7032540678072,46.7137213168696,3,VI_SELECTED,50.7366794336046,2871.48506140964,0.330339687505145,-0.0149905345245972,2.27143297088058,-10.234500516008,0.999998174726649,1,QUADRATIC_2D_LOG,-23,-26,-25.25,-26,-25.25
3,9,161,4.19631370247396,5.11605193998471,25.1551750398829,-17.7101138705316,-7.49996339524767,42.8652889104145,3,VI_SELECTED,24.4490379112694,2096.31984459457,0.368058966928468,-0.0202862868383163,4.389375063254,5.11280863694926,0.999969579514351,1,QUADRATIC_2D_LOG,-63.5,-55.25,-54.25,-55.25,-54.25
4,9,65,4.19631370247396,-10.2321038799694,24.9176518235837,-17.1209447314168,-6.91079425613288,42.0385965550005,3,VI_SELECTED,19.6597421698455,508.618850927634,0.434577669665602,-0.0131001694696777,4.42426673122483,-10.2341982908266,0.999989358050306,1,QUADRATIC_2D_LOG,23.75,-19,-18.75,-19,-18.75
5,14,65,6.81900976652018,-10.2321038799694,19.955371755086,-19.6540418040359,-9.44389132875206,39.6094135591219,3,VI_SELECTED,46.9765628229203,1319.38736353536,-0.454932493739215,-0.0180656681982149,6.58037983437287,-10.2349921579954,0.99996575353998,1,QUADRATIC_2D_LOG,-63.5,18.75,19,18.75,19
6,14,161,6.81900976652018,5.11605193998471,16.714831331622,-20.4919232717425,-10.2817727964587,37.2067546033645,3,VI_SELECTED,27.5973341713975,1502.02155804718,-0.279979638510139,-0.0181236096864547,6.67214946733346,5.11315439846921,0.999943659503475,1,QUADRATIC_2D_LOG,-4.75,-8.75,-9.25,-8.75,-9.25
7,18,161,8.91716661775716,5.11605193998471,13.6825356683082,-20.6312309738317,-10.4210804985478,34.3137666421398,3,VI_SELECTED,21.5134167223966,248.373288363906,0.192013440718289,-0.0122333130443489,9.01788519680033,5.11409611920556,0.999979931739865,1,QUADRATIC_2D_LOG,19.25,76,76,76,76
8,22,161,11.0153234689941,5.11605193998471,9.39458701298183,-19.1866859348038,-8.97653545951988,28.5812729477856,3,VI_SELECTED,22.6687410258665,97.4616931382278,-0.382882285703973,-0.00650055472361906,10.8144866962524,5.11501265324706,0.998766265484193,1,QUADRATIC_2D_LOG,-19.75,25.5,-18,25.5,-18
9,18,65,8.91716661775716,-10.2321038799694,8.06528823944837,-18.9428888370698,-8.73273836178593,27.0081770765182,3,VI_SELECTED,38.0966100081878,303.376221005049,0.365318179783251,-0.00161275742095749,9.10879032820557,-10.2323617221798,0.998064366104501,1,QUADRATIC_2D_LOG,-57.5,-4,-64.5,-4,-64.5
10,20,65,9.96624504337565,-10.2321038799694,7.57705917116528,-18.8262859398093,-8.61613546452545,26.4033451109746,3,VI_SELECTED,14.7371025858987,56.1449670521739,-0.484459767602097,-0.0191882557617826,9.7121268982399,-10.2351716335043,0.999709312286319,1,QUADRATIC_2D_LOG,-4.5,-57.5,-60.75,-57.5,-60.75
11,24,65,12.0644018946126,-10.2321038799694,3.76447214565645,-19.1336818963351,-8.9235314210512,22.8981540419915,3,VI_SELECTED,12.9703921647676,26.5649298358938,0.253506578379437,0.0131902381435002,12.1973760356777,-10.2299950692368,0.999315210741655,1,QUADRATIC_2D_LOG,-39.5,10.25,8.5,10.25,8.5
12,26,161,13.1134803202311,5.11605193998471,2.35833415428883,-18.6649961346053,-8.45484565932142,21.0233302888941,3,VI_SELECTED,18.4550677566712,36.261286823516,-0.434384056868364,-0.0286390429762515,12.8856288489845,5.11147322650415,0.998909851128366,1,SEPARABLE_LOG,-34.5,-1.75,-26,-1.75,-26
13,28,65,14.1625587458496,-10.2321038799694,2.45703314573827,-18.0542183800921,-7.84406790480825,20.5112515258304,3,VI_SELECTED,10.5150940681914,11.9800856558157,-0.261460469095016,0.0266238422376821,14.0254124772098,-10.2278473499779,0.991055424208839,1,QUADRATIC_2D_LOG,-52.25,-13,41.25,-13,41.25
14,31,65,15.7361763842773,-10.2321038799694,0.28772298015352,-18.0826905205083,-7.87254004522437,18.3704135006618,3,VI_SELECTED,9.5752688699,8.80554984290275,-0.0689989826702494,0.0605121613307378,15.6999837122229,-10.2224293999579,0.995267570251646,1,QUADRATIC_2D_LOG,29.25,-9.25,-9.5,-9.25,-9.5
15,29,161,14.6870979586589,5.11605193998471,0.198412146575437,-18.001359329733,-7.79120885444913,18.1997714763085,3,VI_SELECTED,8.56931006518504,8.90363566592236,0.369782788631077,-0.0474571198868602,14.8810635315178,5.10846465591398,0.999739560863415,1,QUADRATIC_2D_LOG,-46.25,-7.5,-28.75,-7.5,-28.75
16,33,161,16.7852548098958,5.11605193998471,-1.10956252761304,-18.3304302741814,-8.12027979889755,17.2208677465684,3,VI_SELECTED,8.15782909587831,7.62898434076777,0.289820785827135,-0.011959272111893,16.9372771767494,5.11413993194443,0.999232220511067,1,QUADRATIC_2D_LOG,-69,14.75,14.75,14.75,14.75
