DetectionID,RangeBin,DopplerBin,Range_m,Velocity_mps,Power_dB,Noise_dB,SNR_dB,AngleFFT_deg,DML_deg,MUSIC_deg,OMP_deg,SelectedAngle_deg
1,5,161,2.098157,5.116052,31.365208,11.072743,20.292464,-64.000000,-11.250000,-11.250000,-11.250000,-11.250000
2,9,65,4.196314,-10.232104,31.408332,13.093149,18.315183,-59.250000,24.000000,24.000000,24.000000,24.000000
3,5,65,2.098157,-10.232104,30.535261,12.402556,18.132705,22.750000,-24.000000,-23.500000,-24.000000,-23.500000
4,9,161,4.196314,5.116052,29.997140,14.029709,15.967430,-11.750000,28.500000,28.750000,28.500000,28.750000
5,18,65,8.917167,-10.232104,18.488782,2.822091,15.666692,-62.000000,22.000000,-4.500000,22.000000,-4.500000
6,5,33,2.098157,-15.348156,-7.628752,-22.915793,15.287042,27.500000,-10.500000,-10.500000,-10.500000,-10.500000
7,30,161,15.211637,5.116052,3.746152,-11.306823,15.052974,2.750000,-4.750000,-31.750000,-4.750000,-31.750000
8,10,193,4.720853,10.232104,-4.647151,-19.369374,14.722224,27.500000,20.750000,21.000000,20.750000,21.000000
9,18,161,8.917167,5.116052,15.568363,1.193405,14.374958,-6.500000,23.000000,23.000000,23.000000,23.000000
10,31,65,15.736176,-10.232104,2.918198,-10.884218,13.802416,31.750000,-11.500000,-10.750000,-11.500000,-10.750000
11,25,65,12.588941,-10.232104,7.144708,-6.225695,13.370403,18.000000,24.500000,24.500000,24.500000,24.500000
12,39,161,19.932490,5.116052,-3.410667,-15.945954,12.535287,-8.750000,-19.500000,-18.500000,-19.500000,-18.500000
