scenario,capture_id,data_type,rx,relative_path,size_bytes,sha256,notes
approaching_cart,20260802163233093,adc_txt,0,data/adc/adc_approaching_box_rx0_20260802163233093/run_001_Pf0_Rx0.txt,1186267,a8fb10cf93c9a89c306ac1033f04ed78a280350b978d50dffaeed721baeaa420,valid_rx0_capture
empty_background,20260802162429496,adc_txt,0,data/adc/adc_empty_background_20260802162429496/run_001_Pf0_Rx0.txt,1178008,15eeb8f3c3d3b4c1072bb61f198b8edafb0ca7c791ccfd666d19b15fd7962993,valid_four_channel_capture
empty_background,20260802162429496,adc_txt,1,data/adc/adc_empty_background_20260802162429496/run_001_Pf0_Rx1.txt,1232657,5fe7c9d31f8a2497f0b39e675b77d872a3876146f3b362e21b0757b58d843dc8,valid_four_channel_capture
empty_background,20260802162429496,adc_txt,2,data/adc/adc_empty_background_20260802162429496/run_001_Pf0_Rx2.txt,1212970,c992631191b4778ad835946845fdeea4ea9c7b6ad3810abf345c65be79b1847b,valid_four_channel_capture
empty_background,20260802162429496,adc_txt,3,data/adc/adc_empty_background_20260802162429496/run_001_Pf0_Rx3.txt,1215943,2027bfa2ba18e84c555f3010fa3846910fcc659a5348ec43b4119e5d674540a6,valid_four_channel_capture
receding_cart,20260802164502658,adc_txt,0,data/adc/adc_receding_box_rx0_retry3_20260802164502658/run_001_Pf0_Rx0.txt,1170210,903c9e884709e38e2ca97b544289a46fb99665915d7f2dbe26e56c93a5cc67a8,final_valid_retry
static_plastic_target,20260802162041191,adc_txt,0,data/adc/adc_test_20260802162041191/run_001_Pf0_Rx0.txt,1187439,9e62456d855923cc6702bc65b8621c408a7f0b293fc5546a3b6a0529b0f79954,valid_four_channel_capture
static_plastic_target,20260802162041191,adc_txt,1,data/adc/adc_test_20260802162041191/run_001_Pf0_Rx1.txt,1237152,405e85e5ba70f301df6d0d5c8c53bebbaf3c8224e7a8af113e41a5a0dda2eb60,valid_four_channel_capture
static_plastic_target,20260802162041191,adc_txt,2,data/adc/adc_test_20260802162041191/run_001_Pf0_Rx2.txt,1226098,9793c951db11ff2ca790ce64da578f1b365950058f1ba4b254a1c14240343f0a,valid_four_channel_capture
static_plastic_target,20260802162041191,adc_txt,3,data/adc/adc_test_20260802162041191/run_001_Pf0_Rx3.txt,1220740,b539243d8641540a07c50e98d542d5cd4a993390332cf273ca513a689813c1d1,valid_four_channel_capture
static_plastic_target,2026_08_02_16_19_35,can_asc,,data/targets/2026_08_02_16_19_35_Tatget__CanData.asc,1589585,6d3b727871ffd1b1e4c182c9a2d559dbbb1eec8bd5d71519e84f29c38b6fbe6c,valid
