scenario,elapsed_s,range_m,radial_speed_mps,angle_deg,x_m,y_m,snr_db
approaching_box,34.893,2.62,-0.05,-40.45,1.69981466095,1.99374775697,23.5
approaching_box,34.977,2.34,-0.05,-29.2,1.14159160238,2.04263766081,31.5
approaching_box,35.59,2.31,-0.05,-29.55,1.13925250162,2.00952823756,30
approaching_box,35.839,2.43,-0.15,-36,1.42831816307,1.96591129633,19
approaching_box,35.902,2.38,-0.15,-36.95,1.43066049044,1.90200172478,23.5
approaching_box,35.933,2.4,-0.15,-36.95,1.44268284751,1.91798493256,21
approaching_box,35.984,2.36,-0.15,-38.9,1.48199281605,1.83665383052,27
approaching_box,36.029,2.35,-0.1,-41.35,1.55254399277,1.76411653541,29.5
approaching_box,36.093,2.34,-0.1,-41.35,1.54593742259,1.75660965653,29.5
approaching_box,36.189,2.33,-0.1,-41.35,1.53933085241,1.74910277766,24
approaching_box,36.241,2.35,-0.1,-38.15,1.45164757058,1.84803120396,25.5
approaching_box,36.288,2.37,-0.15,-37.8,1.45258971716,1.87266737933,27
approaching_box,36.343,2.31,-0.15,-39.3,1.46310981577,1.78757088447,24.5
approaching_box,36.411,2.2,-0.15,-41.55,1.45920144258,1.64642981933,23.5
approaching_box,36.476,2.32,-0.05,-39,1.46002330724,1.80297863058,28
approaching_box,37.438,1.94,-0.05,-38.95,1.21956540961,1.50872801116,19
approaching_box,37.53,1.92,-0.1,-38.95,1.20699257034,1.49317411414,18.5
approaching_box,37.581,1.9,-0.1,-39,1.19570874299,1.47657732677,18
approaching_box,37.642,1.91,-0.1,-38.85,1.19811181612,1.48749052975,20.5
approaching_box,37.687,1.91,-0.15,-38.95,1.2007061507,1.48539716563,20.5
approaching_box,37.75,1.9,-0.1,-38.95,1.19441973107,1.47762021712,20.5
approaching_box,37.779,1.88,-0.1,-39.05,1.18439687756,1.46000138234,19.5
approaching_box,37.892,1.87,-0.1,-39.05,1.17809689417,1.45223541754,20
approaching_box,37.953,1.86,-0.1,-39.05,1.17179691077,1.44446945274,18
approaching_box,37.995,1.89,-0.1,-39.05,1.19069686095,1.46776734714,19
approaching_box,38.031,1.88,-0.1,-38.95,1.18184689179,1.4620663201,18
approaching_box,38.08,1.88,-0.1,-39,1.18312233517,1.46103440754,20.5
approaching_box,38.143,1.86,-0.15,-39.05,1.17179691077,1.44446945274,20
approaching_box,38.19,1.89,-0.1,-39.1,1.19197727605,1.46672770936,20.5
approaching_box,38.252,1.9,-0.1,-39.05,1.19699684434,1.47553331194,18
approaching_box,38.34,1.9,-0.1,-39,1.19570874299,1.47657732677,20
approaching_box,38.397,1.91,-0.1,-39.15,1.20588383931,1.48119686946,18
approaching_box,38.442,1.88,-0.1,-39.1,1.18567051797,1.45896724529,19.5
approaching_box,38.474,2.2,-0.05,-33.1,1.20142431423,1.84298117656,29.5
approaching_box,38.537,2.36,-0.05,-37.3,1.43013262463,1.87731741482,31
approaching_box,38.585,2.33,-0.05,-21.05,0.836895261346,2.17451289293,29.5
approaching_box,38.694,2.15,-0.05,-32.3,1.14885755119,1.81731294143,28
approaching_box,38.727,2.1,-0.05,-33.5,1.15906766916,1.75116022634,24.5
approaching_box,38.777,2.19,-0.05,-32.8,1.18634098052,1.84084086166,30
approaching_box,38.903,2.34,-0.05,-37.35,1.41963670134,1.86016978693,25.5
approaching_box,38.945,2.33,-0.05,-23.85,0.942120577582,2.13103468233,28
approaching_box,39.025,1.74,-0.05,-39.7,1.11145600248,1.33875522578,19
approaching_box,39.135,1.73,-0.05,-39.55,1.10157983112,1.33394972756,18.5
approaching_box,39.198,1.97,-0.05,-38.85,1.23574883652,1.53421798094,22
approaching_box,39.232,2.14,-0.05,-38.7,1.33801928456,1.6701210717,24
approaching_box,39.279,2.14,-0.05,-38.6,1.33510233696,1.67245381098,23.5
approaching_box,39.34,2.02,-0.1,-38.45,1.25609951937,1.58196523269,20
approaching_box,39.386,1.99,-0.1,-38.6,1.24152039745,1.55522574011,21.5
approaching_box,39.481,2.09,-0.1,-39.15,1.31952734249,1.62078610323,23.5
approaching_box,39.531,1.99,-0.1,-38.5,1.23880412691,1.55739023214,20
approaching_box,39.592,2.03,-0.15,-39.05,1.27889662843,1.57649085433,20.5
approaching_box,39.64,1.99,-0.2,-38.55,1.2401627344,1.55630857872,20
approaching_box,39.701,2,-0.2,-38.45,1.24366289047,1.56630221058,20
approaching_box,39.73,1.96,-0.2,-38.3,1.21476690232,1.53816168624,19.5
approaching_box,39.826,2,-0.25,-38.55,1.24639470794,1.56412922485,18
approaching_box,39.905,1.95,-0.25,-39.05,1.2284967613,1.51436313594,20
approaching_box,39.95,1.95,-0.2,-38.8,1.22187743216,1.51970903162,18
approaching_box,39.981,1.94,-0.2,-39,1.22088155864,1.50766316523,22.5
approaching_box,40.032,1.94,-0.2,-38.8,1.21561139405,1.51191565197,20
approaching_box,40.093,1.92,-0.2,-39.1,1.21089755027,1.49000910157,23
approaching_box,40.139,1.92,-0.2,-39.35,1.21738739394,1.48471139723,23.5
approaching_box,40.234,1.93,-0.15,-39.2,1.21981655414,1.4956428632,23.5
approaching_box,40.284,1.9,-0.2,-39.3,1.20342365799,1.47029639848,23
approaching_box,40.329,1.88,-0.2,-39.3,1.19075604054,1.45481959429,23
approaching_box,40.391,1.86,-0.2,-39.45,1.18185257215,1.43625363279,23
approaching_box,40.452,1.87,-0.2,-39.5,1.18946627192,1.44293797094,25
