parameter,value,value_unit,range_resolution_m,velocity_resolution_mps,max_unambiguous_velocity_mps,max_unambiguous_range_m,cart_beat_frequency_hz,detected_range_m,detected_velocity_mps,moving_retention_db,static_suppression_db,target_count,mti_order
bandwidth,500000000,Hz,0.299792458,0.108633050933,13.9050305195,153.493738496,333564.095198,5.99584916,-0.3258991528,-22.0458384424,105.42538711,4,1
bandwidth,1000000000,Hz,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-22.0161801527,104.336001664,4,1
bandwidth,1500000000,Hz,0.0999308193333,0.108633050933,13.9050305195,51.1645794987,1000692.28559,5.99584916,-0.3258991528,-21.9878154257,104.859073311,4,1
chirp_duration,4e-05,s,0.149896229,0.152086271307,19.4670427273,51.114614089,1000692.28559,5.99584916,-0.304172542614,-24.9356689438,102.466810151,4,1
chirp_duration,6e-05,s,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-22.0161801527,104.336001664,4,1
chirp_duration,8e-05,s,0.149896229,0.0844923729482,10.8150237374,102.379124407,500346.142797,5.99584916,-0.337969491793,-19.837470529,107.055605387,4,1
prf,8000,Hz,0.149896229,0.0608345085227,7.78681709091,76.746869248,667128.190396,5.99584916,-0.365007051136,-16.9843583713,104.337979608,4,1
prf,12000,Hz,0.149896229,0.0912517627841,11.6802256364,76.746869248,667128.190396,5.99584916,-0.365007051136,-20.5047175032,104.337030845,4,1
prf,14285.7142857,Hz,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-22.0161801527,104.336001664,4,1
target_velocity,-0.15,m/s,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.108633050933,-29.3714672245,104.314786604,4,1
target_velocity,-0.35,m/s,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-22.0161801527,104.336001664,4,1
target_velocity,-0.7,m/s,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.651798305601,-15.9954273515,104.338270381,4,1
target_count,1,count,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-22.0166785894,NaN,1,1
target_count,2,count,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-22.0163234443,107.688506805,2,1
target_count,4,count,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-22.0161801527,104.336001664,4,1
mti_order,0,order,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,0,0,4,0
mti_order,1,order,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-22.0161801527,104.336001664,4,1
mti_order,2,order,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-44.0327954173,135.280898069,4,2
mti_order,3,order,0.149896229,0.108633050933,13.9050305195,76.746869248,667128.190396,5.99584916,-0.3258991528,-66.0495897153,158.408344664,4,3
