record_id,environment_id,scene_id,repeat_index,participant_id,target_count,action_label,start_time,duration_s,reference_distance_m,stop_duration_s,data_types,radar_config_file,data_file,ground_truth_file,privacy_checked,notes
S0-R01,E01,S0,1,,0,empty,,,,,,,,,,
S0-R02,E01,S0,2,,0,empty,,,,,,,,,,
S0-R03,E01,S0,3,,0,empty,,,,,,,,,,
S1-R01,E01,S1,1,,1,approach,,,,,,,,,,
S1-R02,E01,S1,2,,1,approach,,,,,,,,,,
S1-R03,E01,S1,3,,1,approach,,,,,,,,,,
S2-R01,E01,S2,1,,1,recede,,,,,,,,,,
S2-R02,E01,S2,2,,1,recede,,,,,,,,,,
S2-R03,E01,S2,3,,1,recede,,,,,,,,,,
S3-R01,E01,S3,1,,1,stationary,,,,,,,,,,
S3-R02,E01,S3,2,,1,stationary,,,,,,,,,,
S3-R03,E01,S3,3,,1,stationary,,,,,,,,,,
S4-R01,E01,S4,1,,1,stop_continue,,,,,,,,,,
S4-R02,E01,S4,2,,1,stop_continue,,,,,,,,,,
S4-R03,E01,S4,3,,1,stop_continue,,,,,,,,,,
S5-R01,E01,S5,1,,1,lateral_pass,,,,,,,,,,
S5-R02,E01,S5,2,,1,lateral_pass,,,,,,,,,,
S5-R03,E01,S5,3,,1,lateral_pass,,,,,,,,,,
S6-R01,E01,S6,1,,1,turn_back,,,,,,,,,,
S6-R02,E01,S6,2,,1,turn_back,,,,,,,,,,
S6-R03,E01,S6,3,,1,turn_back,,,,,,,,,,
